 Seri Numarası ,Kategori,Raf,Açıklama,Not,Stok Giriş Tarihi,Yenileme Tarihi
 W936589011400 ,Mesafe pulu,NFZ 2,"Arka radyal mil keçesi için takma tertibatı dengeleme pulu, 457 589 01 43 00 takma tertibatı ile birlikte kullanılır.",,,
 W163589019100 ,Kontrol bağlantısı,NFZ 2, Soğutma tertibatını sızdırmazlık açısından kontrol etmek için soğutma maddesi genleşme kabı ile W   124   589   24   21   00 kontrol cihazı arasına takılan kontrol kapağı.,,,
 W936589033302 ,Darbeli çektirme,NFZ 2,Çeşitli yapı parçalarını sıkmak için.,,,
 W936589033301 ,Alet takımı,NFZ 2,Koruma kovanını silindir kapağından çektirmek ve koruma kovanını enjektörün üzerine preslemek için.,,,
 W470589043302 ,takma aleti,NFZ 2,O ringlerin enjektöre takılması için yerleştirme aleti.,,,
 W470589043301 ,takma aleti,NFZ 2,O ringlerin enjektöre takılması için yerleştirme aleti.,,,
 W470589030900 ,lokma,NFZ 2,Yağ termostatının takılması ve sökülmesi için lokma ucu.,,,
 W470589062301 ,Sente aparatı kırmızı şablon,NFZ 2,Eksantrik millerinin üst ölü noktaya (OT) konumlandırılması için şablon.,,,
 W470589062302 ,Sente aparatı kırmızı şablon,NFZ 2,Eksantrik millerinin üst ölü noktaya (OT) konumlandırılması için şablon.,,,
 W936589000700 ,tırnaklı anahtar,NFZ 2,Enjektörün su kovanını söküp takmak için tırnaklı anahtar.,,,
 W470589021502 ,Malafa,NFZ 2, Eksantrik mili muhafaza gövdesindeki kapağın montajı için.,,,
 W470589079101 ,sızdırmazlık kontrol cihazı,NFZ 2,"Egzoz gazı geri dönüş soğutucusu kontrolü için sızdırmazlık kontrol cihazı, yüksek basınç pompası 124 589 24 21 00 ile bağlantılı olarak.",,,
 W470589000700 ,tırnaklı anahtar,NFZ 2,Enjektörün su kovanını sökülmesi ve takılması için tırnaklı anahtar.,,,
 W936589039100 ,Bilgi Yok,NFZ 2,Bilgi Yok,,,
 W470589036300 ,Adaptör seti,NFZ 2,Takılı durumdaki kam milinde kam mili çerçevesinin sökülmesi ve takılması için adaptör seti.,,,
 W936589019100 ,Kapama tapası,NFZ 2,Kontrol çalışmaları sırasında Rail bağlantılarının kapatılması için kapama tapası.,,,
 W936589019100 ,Kapama tapası,NFZ 2,Kontrol çalışmaları sırasında Rail bağlantılarının kapatılması için kapama tapası.,,,
 W936589003100 ,Adapsyon,NFZ 2,"Dişlinin sökülmesi ve takılması sırasında yakıt pompasını ve basınçlı hava kompresörünü sabitlemek için, sabitleme tertibatı 470 589 08 40 00 ile birlikte kullanılır.",,,
 W936589049100 ,Adaptör,NFZ 2,Enjektörlerin ve Rail basınç ayar valfının yakıt geri dönüş miktarının ölçümü için. Yakıt filtresi modülünde kontrol adaptörü 470 589 02 21 00 ile bağlantılı olarak yakıt basıncı ölçümü için.,,,
 W936589009100 ,Adaptör,NFZ 2,Enjektör deliği üzerinden kompresyon kontrolü için.,,,
 W470589012100 ,Ayarl aleti,NFZ 2,3. dişlide kumanda tahrikini ayarlamak için ayar aleti.,,,
 W470589012300 ,Sabitleme tertibatı,NFZ 2,Dişli çark tahrikinin sökülmesi sırasında krank milinin OT'ye sabitlenmesi için.,,,
 W470589032302 ,ŞABLON,NFZ 2,Eksantrik millerinin üst ölü noktaya konumlanması için şablon,,,
 W470589032300 ,ŞABLON,NFZ 2,Eksantrik millerinin üst ölü noktaya konumlanması için şablon,,,
 W936589003300 ,Çektirme aleti,NFZ 2,Enjektörlerin silindir kapağıdan dışarı çektirilmesi için.,,,
 W470589001500 ,Malafa,NFZ 2,Krank milinin volan dişli çerçevesi üzerinden OT'ye sabitlenmesi için.,,,
 W470589009103 ,ADAPTÖR,NFZ 2,Kompresyonun enjektör deliği üzerinden kontrol edilmesine yönelik adaptör,,,
 W470589009100 ,ADAPTÖR,NFZ 2,Kompresyonun enjektör deliği üzerinden kontrol edilmesine yönelik adaptör,,,
 W711589024300 ,takma aleti,NFZ 2,Şanzıman gövdesinde grup milinin yatağını takmak için takma el aleti.,,,
 W470589003100 ,ÖLÇÜM KÖPRÜSÜ,NFZ 2,Piston taşmasını ölçmek için.,,,
 W400589092100 ,Bilgi Yok,NFZ 2,Bilgi Yok,,,
 W970589002300 ,AYARLAMA APARATI,NFZ 2,Vites kolu için ayar tertibatı,,,
 W936589002300 ,ŞABLON,NFZ 2,Eksantrik millerinin konumlanması için şablon.,,,
 W470589013300 ,DIŞARI ÇEKME ALETİ,NFZ 2,Enjektörün silindir kapağından sökülmesi için çektirme aleti.,,,
 W470589066100 ,Kılavuz pimleri,NFZ 2,Montaj sırasında silindir kapağın yönlendirilmesi esnasında.,,,
 W470589000100 ,Karşı tutucu,NFZ 2,Yakıt geri dönüş hattı yağ radyatörü bağlantısının kontralanması için.,,,
 BİLGİ YOK ,OTOBÜS DİREKSİYON ÇEKTİRMESİ,NFZ 2,OTOBÜS DİREKSİYON ÇEKTİRMESİ,,,
 W470589024300 ,Keçe çakacağı,NFZ 1,Arka radyal mil keçesinin krank mili çıkışına takılması için.,,,
 W715589266300 ,Oturma plakası,NFZ 4,Şanzımanı kanal lifti ile sökmek için. Hatırlatma: Rotary Blitz Tip/Model şanzıman yuva plakasıyla birlikte: GA IVÜrün No. 590-3135 (şanzıman yuva plakasını sabitlemeye yarayan cıvatalar),,,
 W936589016200 ,Motor kaldırma aparato,NFZ Koridor,Komple motorun cereskal ile bağlantılı olarak sökülmesini ve takılmasını içeren uyarlama.,,,
 W711589014300 ,Basınç cihazı,NFZ 4,Bilgi Yok,,,
 W936589003700 ,Piston segman Takacağı Sıktırma,NFZ 4,Bilgi Yok,,,
 W343589003300 ,Çektirme tertibatı,NFZ 4,"Miller, akslar ve pimler için 13 parçalı dışarı çektirme tertibat",,,
 W470589016300 ,Kablo Seti,NFZ 4,Bilgi Yok,,,
 W963589009100 ,Doldurma cihazı,NFZ 4, Park klima sisteminin soğutma maddesi devridaim hattının boşaltılması ve kabarcıksız olarak doldurulması için dolum cihazı. ,,,
 W470589053300 ,sökme ve takma el aleti (ÇANTA),NFZ 4,Silindir gömleğinin takılması ve sökülmesi için ve kovan taşmalarının ölçülmesi için.,,,
 W936589006100 ,Supap alet çantası,NFZ 4,"Valf yaylarının, valf sapı contasının montaj malafası ve çektirme aleti dahil ayrıca valf kılavuzları için bir alıştırma piminin sökülmesi ve takılması için valf takım çantası.",,,
 W715589133300 ,çektirme,NFZ 3,"Şanzıman gövdesi arka parçasını çektirmek için ve 1. vites için dişliyi çektirmek için. Hatırlatma: Aşağıdaki birimlerle bağlantılı olarak, 715 589 15 34 00 Hidrolik silindir 715 589 10 34 00 Adaptör 715 589 11 34 00 Adaptör 715 589 12 34 00 Adaptör 652 589 00 33 21 El pompası 652 589 00 33 23 Hidrolik hortum",,,
 W715589024300 ,Yerleştirme tertibatı,NFZ 3,"Krank milleri ana yatağının (arka) preslenmesi için çektirme tertibatı, 715 589 13 33 00 çektirme aleti, 715 589 15 34 00 hidrolik silindir, 715 589 10 34 00 adaptör, 715 589 11 34 00 adaptör, 715 589 12 34 00 adaptör, 652 589 00 33 21 el pompası ve 652 589 00 33 23 hidrolik hortum ile bağlantılı olarak.",,,
 W470589016200 ,Kavrama aleti (Kutu arkası),NFZ 3,"Dizel partikül filtresini (DPF) sökmek ve takmak için kavrama aleti, 470   589   04   31   00 yuvasıyla bağlantılı olarak.",,,
 W470589219100 ,Kontrol kapağı,NFZ 3,"Tüm emme sisteminin sızdırmazlık kontrolü için. Not (Motor 934, 936 ile Tip 405, 437 hariç): Kapak A   001   988   95   35 ile bağlantılı olarak.",,,
 W000589786300 ,GÜÇLENDİRİCİ,NFZ 4,TORK GÜÇLENDİRİCİ,,,
 W000589680300 ,Yıldız anahtar lokması,BİNEK 2/2,"Borulardaki rakor somununu gevşetmek ve sıkmak için yıldız anahtar lokması, anahtar genişliği 17 mm açık, tahrik 1/2"" dört köşeli.",,,
 W936589001400 ,Bilya çektirmesi,C4,,,,
 W470589022300 ,Ayar el aleti ,C4,,,,
 W400589079100 ,E6 Soğutma sistemi test adaptörü,C1,YEŞİL KAPAKLAR,,,
 W470589119105 ,Adaptör,C4,,,,
 W642589056300 ,Montaj parçaları,Binek 1/5,,,,
 W422589020900 ,Özel Lokma,Lokma dolabı,,,,11/25/2024
 W611589016300 ,,BİNEK 1/4,,,,
